customer_id,customer_code,customer_email,fName,lName,customer_segment
1,20755,XXXXXXXXX,Cally,Holloway,Consumer
2,19492,XXXXXXXXX,Irene,Luna,Consumer
3,19491,XXXXXXXXX,Gillian,Maldonado,Consumer
4,19490,XXXXXXXXX,Tana,Tate,Home Office
5,19489,XXXXXXXXX,Orli,Hendricks,Corporate
6,19488,XXXXXXXXX,Kimberly,Flowers,Consumer
7,19487,XXXXXXXXX,Constance,Terrell,Home Office
8,19486,XXXXXXXXX,Erica,Stevens,Corporate
9,19485,XXXXXXXXX,Nichole,Olsen,Corporate
10,19484,XXXXXXXXX,Oprah,Delacruz,Corporate
11,19483,XXXXXXXXX,Germane,Short,Corporate
12,19482,XXXXXXXXX,Freya,Robbins,Consumer
13,19481,XXXXXXXXX,Cassandra,Jensen,Corporate
14,19480,XXXXXXXXX,Natalie,Mcfadden,Corporate
15,19479,XXXXXXXXX,Kimberley,Sharpe,Corporate
16,19478,XXXXXXXXX,Sade,Lancaster,Corporate
17,19477,XXXXXXXXX,Brynne,Giles,Corporate
18,19476,XXXXXXXXX,Ciara,Bird,Corporate
19,19475,XXXXXXXXX,Bo,Griffin,Consumer
20,19474,XXXXXXXXX,Kim,Simon,Consumer
21,19473,XXXXXXXXX,Kellie,Farmer,Corporate
22,19472,XXXXXXXXX,Alma,Conley,Corporate
23,19471,XXXXXXXXX,Yeo,Bird,Corporate
24,19470,XXXXXXXXX,Lucy,Mcknight,Corporate
25,19469,XXXXXXXXX,Simone,Vance,Corporate
26,19468,XXXXXXXXX,Roary,Wheeler,Corporate
27,19467,XXXXXXXXX,Quail,Ashley,Consumer
28,19466,XXXXXXXXX,Hannah,Velez,Corporate
29,19465,XXXXXXXXX,Evelyn,Kelly,Corporate
30,19464,XXXXXXXXX,Jael,Mcfarland,Consumer
31,19463,XXXXXXXXX,Teagan,Romero,Consumer
32,19462,XXXXXXXXX,Joan,Wilder,Consumer
33,19461,XXXXXXXXX,Basia,Watts,Consumer
34,19460,XXXXXXXXX,Dominique,Rogers,Consumer
35,19459,XXXXXXXXX,Ainsley,Mathis,Consumer
36,19458,XXXXXXXXX,Aurora,Sharp,Corporate
37,19457,XXXXXXXXX,Libby,Bray,Corporate
38,19456,XXXXXXXXX,Amy,Lindsay,Corporate
